final_courses_unique_names,,
institution,name,Fee
The Museum of Modern Art,In the Studio: Postwar Abstract Painting,49
University of Alberta,Introduction to Software Product Management,49
Unicef,"Social Norms, Social Change I",49
Macquarie University,Excel Skills for Business: Intermediate II,49
University of Toronto,Aboriginal Worldviews and Education,49
The Hong Kong University of Science and Technology,"Information Systems Auditing, Controls and Assurance",49
University of Colorado Boulder,Business Writing,49
California Institute of the Arts,Introduction to Typography,49
IESE Business School,Claves para Gestionar Personas,49
University of Virginia,How Things Work: An Introduction to Physics,49
University of Washington,Business English: Networking,49
University of London,Global Energy and Climate Policy,49
Universidad Austral,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,49
University of Colorado Boulder,Gut Check: Exploring Your Microbiome,49
Erasmus University Rotterdam,Econometrics: Methods and Applications,49
University of Amsterdam,Basic Statistics,49
University of Michigan,"Capstone: Retrieving, Processing, and Visualizing Data with Python",49
University of Virginia,Design Thinking for the Greater Good: Innovation in the Social Sector,59
EDHEC Business School,Introduction to Portfolio Construction and Analysis with Python,49
University of Amsterdam,Data Analytics for Lean Six Sigma,49
University of London,Refugees in the 21st Century,49
Atlassian,Version Control with Git,49
UNSW Sydney (The University of New South Wales),"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",49
Universidad Austral,Excel aplicado a los negocios (Nivel Avanzado),29
University of Washington,Introduction to Public Speaking,49
Berklee College of Music,Guitar for Beginners,49
IBM,Introduction to Cloud Computing,49
Alberta Machine Intelligence Institute,Sample-based Learning Methods,79
École Polytechnique Fédérale de Lausanne,Functional Programming Principles in Scala,49
INSEAD,Introduction to Blockchain Technologies,79
The University of North Carolina at Chapel Hill,Introduction to Environmental Law and Policy,49
Michigan State University,"Cameras, Exposure, and Photography",49
Universitat Autònoma de Barcelona,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,29
University of Michigan,Dentistry 101,49
University of Michigan,"Python Functions, Files, and Dictionaries",49
Universidad Nacional Autónoma de México,Anticorrupción: Introducción a conceptos y perspectiva práctica,49
University of Pennsylvania,Positive Psychology: Applications and Interventions,79
University of Colorado Boulder,Introduction to Embedded Systems Software and Development Environments,99
University of Florida,Personal & Family Financial Planning,49
Yale University,A Law Student's Toolkit,49
Universidad Nacional Autónoma de México,Introducción a Data Science: Programación Estadística con R,29
IBM,"Cybersecurity Roles, Processes & Operating System Security",49
University of Washington,Computational Neuroscience,49
École Polytechnique Fédérale de Lausanne,Smart Cities – Management of Smart Urban Infrastructures,49
"University of California, Irvine",Getting Started with Go,49
Erasmus University Rotterdam,Introduction to Economic Theories,49
University of Virginia,Introduction to Personal Branding,49
Stanford University,Love as a Force for Social Justice,29
University of California San Diego,Mathematical Thinking in Computer Science,79
Duke University,Introduction to Genetics and Evolution,49
University of Pennsylvania,Improving Communication Skills,79
New York Institute of Finance,"Introduction to Trading, Machine Learning & GCP",49
University of Virginia,"The Modern World, Part Two: Global History since 1910",49
Tel Aviv University,Understanding Plants - Part I: What a Plant Knows,49
Macquarie University,Excel Fundamentals for Data Analysis,49
Universidad Nacional Autónoma de México,Finanzas personales,49
Duke University,English Composition I,49
Northwestern University,Career 911: Your Future Job in Medicine and Healthcare,49
University of Toronto,Introduction to Self-Driving Cars,79
University of Illinois at Urbana-Champaign,Corporate & Commercial Law I: Contracts & Employment Law,79
University at Buffalo,Blockchain Basics,49
University of Virginia,Foundations of Business Strategy,79
Universidade de São Paulo,Introdução à Ciência da Computação com Python Parte 1,29
The University of Sydney,"Innovation Through Design: Think, Make, Break, Repeat",49
LearnQuest,Getting Started with Azure,49
Yale University,Moralities of Everyday Life,49
Universidade Estadual de Campinas,Revisão Sistemática e Meta-análise,49
Utrecht University,Understanding child development: from synapse to society,49
University of California San Diego,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),49
University of Illinois at Urbana-Champaign,Financial Planning for Young Adults,49
University of Amsterdam,Quantitative Methods,39
University of Rochester,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",49
Berklee College of Music,The Technology of Music Production,39
The University of Edinburgh,Code Yourself! An Introduction to Programming,49
University of Pennsylvania,Success,79
Johns Hopkins University,Chemicals and Health,49
University of Pennsylvania,Fundamentals of Finance,79
Google Cloud,How Google does Machine Learning,49
University of Alberta,Object-Oriented Design,49
University of Pennsylvania,Introduction to Intellectual Property,79
BCG,Cost and Economics in Pricing Strategy,79
Michigan State University,Write A Feature Length Screenplay For Film Or Television,79
IESE Business School,Corporate Finance Essentials,79
University of Michigan,Introduction to CSS3,49
IBM,Applied Data Science Capstone,39
University of Geneva,Introduction aux Droits de l’Homme,49
University of Washington,"Programming Languages, Part A",39
Copenhagen Business School,Leadership in 21st Century Organizations,49
University of Alberta,Software Processes and Agile Practices,49
"University of California, Davis",DevOps Culture and Mindset,49
Imperial College London,Introduction to Statistics & Data Analysis in Public Health,49
The University of Melbourne,Discrete Optimization,49
University of Michigan,High Stakes Leadership: Leading in Times of Crisis,49
Johns Hopkins University,Essential Epidemiologic Tools for Public Health Practice,49
The University of Melbourne,Epigenetic Control of Gene Expression,49
University of Minnesota,"Recruiting, Hiring, and Onboarding Employees",49
University of Pennsylvania,Ancient Philosophy: Plato & His Predecessors,49
University of Cape Town,Becoming a changemaker: Introduction to Social Innovation,39
Rice University,Spanish for Successful Communication in Healthcare Settings,49
Macquarie University,Leading transformations: Manage change,79
UNSW Sydney (The University of New South Wales),Introduction to Systems Engineering,49
"University of California, Santa Cruz",Bayesian Statistics: Techniques and Models,79
Utrecht University,Human Rights for Open Societies,49
The Hong Kong University of Science and Technology,Introduction to Computers and Office Productivity Software,49
ESCP Business School,Intercultural Management,49
University of London,Get Interactive: Practical Teaching with Technology,49
Rice University,Global Financial Markets and Instruments,49
Michigan State University,Write Your First Novel,49
University of Geneva,Développement psychologique de l'enfant,49
Berklee College of Music,Songwriting: Writing the Lyrics,49
University of Michigan,"Applied Plotting, Charting & Data Representation in Python",49
Johns Hopkins University,Systems Thinking In Public Health,49
Macquarie University,Excel Skills for Business: Advanced,49
Hebrew University of Jerusalem,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),49
Yale University,The Global Financial Crisis,49
Duke University,Renewable Energy and Green Building Entrepreneurship,49
"University of Maryland, College Park",The Cycle: Management of Successful Arts and Cultural Organizations,49
University of Pennsylvania,Privacy Law and Data Protection,79
Lund University,Digital Business Models,49
University of Colorado Boulder,"Everyday Excel, Part 2",49
Google Cloud,Reliable Google Cloud Infrastructure: Design and Process,49
University of Copenhagen,Sustainable Tourism – promoting environmental public health,49
University of Pennsylvania,Social Impact Strategy: Tools for Entrepreneurs and Innovators,49
"University of California, Santa Cruz",C for Everyone: Programming Fundamentals,49
University of Michigan,Introduction to Structured Query Language (SQL),49
Stanford University,Social and Economic Networks:  Models and Analysis,79
The University of Edinburgh,The Truth About Cats and Dogs,49
Duke University,Sports and Society,49
IBM,Fundamentals of Scalable Data Science,49
University of Pennsylvania,Effective Compliance Programs,79
University of Copenhagen,Transformation of the Global Food System,49
University of Michigan,Web Application Technologies and Django,39
University of New Mexico,Curanderismo: Traditional Healing Using Plants,49
University of Michigan,Applied Machine Learning in Python,49
Google,Troubleshooting and Debugging Techniques,49
University of Colorado System,Introduction to C# Programming and Unity,39
University of Michigan,The Science of Success: What Researchers Know that You Should Know,49
Emory University,Finance for Non-Financial Managers,49
Michigan State University,Getting Started With Music Theory,49
University of Florida,The Horse Course: Introduction to Basic Care and Management,49
Pontificia Universidad Católica de Chile,Gestión de organizaciones efectivas,29
University of California San Diego,Introduction to Big Data,49
University of Geneva,Rédaction de contrats,49
The University of Edinburgh,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,49
Wesleyan University,Schizophrenia,49
Howard Hughes Medical Institute ,Ecology: Ecosystem Dynamics and Conservation,49
The State University of New York,Practical Time Series Analysis,49
University of Illinois at Urbana-Champaign,VLSI CAD Part I: Logic,79
Google Cloud,Getting Started with Google Kubernetes Engine,49
University System of Georgia,Six Sigma and the Organization (Advanced),39
University of Michigan,Social Work Practice: Advocating Social Justice and Change,49
Duke University,Introduction to Machine Learning,49
University of Pennsylvania,Entrepreneurship 2: Launching your Start-Up,79
Duke University,Nanotechnology: A Maker’s Course,49
University of Minnesota,Creative Problem Solving,49
University of Michigan,"Sleep: Neurobiology, Medicine, and Society",49
Duke University,Electric Industry Operations and Markets,49
PwC,Effective Business Presentations with Powerpoint,49
University of Pennsylvania,More Introduction to Financial Accounting,79
University of Pennsylvania,Cryptocurrency and Blockchain: An Introduction to Digital Currencies,79
Duke University,Think Again I: How to Understand Arguments,49
Berklee College of Music,Developing Your Musicianship,49
